instance,solver,status,objective,schedule
instances/MTSP/Catanzaro/B1-1.txt,org.minizinc.mip.cplex,satisfied,22,"[11, 5, 3, 12, 13, 10, 15, 4, 7, 9, 8, 6, 2, 14, 1]"
instances/MTSP/Catanzaro/B1-10.txt,org.minizinc.mip.cplex,satisfied,28,"[2, 8, 11, 3, 4, 10, 15, 9, 13, 12, 5, 7, 14, 6, 1]"
instances/MTSP/Catanzaro/B1-2.txt,org.minizinc.mip.cplex,satisfied,28,"[9, 14, 15, 12, 3, 8, 1, 7, 5, 13, 4, 2, 10, 6, 11]"
instances/MTSP/Catanzaro/B1-3.txt,org.minizinc.mip.cplex,satisfied,27,"[4, 5, 9, 14, 15, 1, 7, 6, 3, 2, 8, 10, 13, 12, 11]"
instances/MTSP/Catanzaro/B1-4.txt,org.minizinc.mip.cplex,satisfied,20,"[15, 11, 5, 4, 9, 7, 1, 6, 8, 12, 3, 14, 10, 13, 2]"
instances/MTSP/Catanzaro/B1-5.txt,org.minizinc.mip.cplex,satisfied,23,"[8, 15, 2, 1, 3, 6, 7, 4, 11, 14, 9, 12, 13, 10, 5]"
instances/MTSP/Catanzaro/B1-6.txt,org.minizinc.mip.cplex,satisfied,26,"[9, 11, 1, 14, 8, 7, 5, 4, 10, 6, 15, 3, 12, 13, 2]"
instances/MTSP/Catanzaro/B1-7.txt,org.minizinc.mip.cplex,satisfied,16,"[7, 5, 2, 8, 12, 3, 6, 9, 4, 10, 11, 1, 15, 14, 13]"
instances/MTSP/Catanzaro/B1-8.txt,org.minizinc.mip.cplex,satisfied,25,"[5, 7, 12, 10, 2, 4, 6, 1, 13, 15, 14, 3, 8, 9, 11]"
instances/MTSP/Catanzaro/B1-9.txt,org.minizinc.mip.cplex,satisfied,23,"[7, 5, 14, 8, 4, 10, 12, 2, 11, 6, 9, 1, 3, 15, 13]"
