instance,solver,status,objective,schedule
instances/MTSP/Catanzaro/B1-1.txt,yuck,satisfied,20,"[6, 7, 12, 10, 15, 4, 13, 14, 1, 8, 2, 9, 3, 11, 5]"
instances/MTSP/Catanzaro/B1-10.txt,yuck,satisfied,22,"[3, 2, 1, 14, 13, 10, 4, 9, 15, 12, 5, 6, 7, 11, 8]"
instances/MTSP/Catanzaro/B1-2.txt,yuck,satisfied,27,"[9, 14, 4, 2, 5, 7, 1, 6, 10, 11, 3, 8, 12, 13, 15]"
instances/MTSP/Catanzaro/B1-3.txt,yuck,satisfied,23,"[6, 9, 14, 4, 5, 1, 3, 7, 15, 12, 11, 2, 10, 8, 13]"
instances/MTSP/Catanzaro/B1-4.txt,yuck,satisfied,20,"[9, 1, 6, 12, 8, 3, 10, 14, 11, 13, 2, 5, 4, 7, 15]"
instances/MTSP/Catanzaro/B1-5.txt,yuck,satisfied,22,"[3, 4, 7, 6, 5, 11, 14, 9, 2, 1, 10, 8, 13, 12, 15]"
instances/MTSP/Catanzaro/B1-6.txt,yuck,satisfied,23,"[1, 14, 10, 11, 8, 9, 12, 15, 3, 6, 13, 2, 7, 5, 4]"
instances/MTSP/Catanzaro/B1-7.txt,yuck,satisfied,16,"[2, 8, 5, 9, 6, 3, 4, 10, 7, 12, 11, 15, 13, 1, 14]"
instances/MTSP/Catanzaro/B1-8.txt,yuck,satisfied,23,"[7, 12, 2, 4, 11, 3, 9, 8, 13, 6, 5, 15, 1, 10, 14]"
instances/MTSP/Catanzaro/B1-9.txt,yuck,satisfied,20,"[3, 7, 12, 4, 10, 8, 14, 13, 5, 15, 1, 9, 6, 11, 2]"
