instance,J,T,C,solver,time_limit(msec),status,objective,schedule
/Users/bokner/projects/jstsp/instances/MTSP/Catanzaro/D1-1.txt,40,60,20,org.minizinc.mip.cplex,600000,satisfied,439,"[11, 37, 16, 7, 24, 6, 35, 28, 18, 23, 34, 17, 30, 31, 1, 4, 27, 21, 3, 12, 33, 9, 10, 13, 40, 36, 19, 25, 14, 8, 39, 2, 38, 15, 26, 20, 5, 22, 29, 32]"
/Users/bokner/projects/jstsp/instances/MTSP/Catanzaro/D1-1.txt,40,60,20,yuck,600000,satisfied,244,"[24, 2, 1, 8, 28, 31, 38, 27, 20, 25, 21, 18, 36, 7, 15, 30, 33, 6, 17, 4, 37, 35, 10, 14, 22, 16, 23, 12, 19, 32, 11, 5, 9, 3, 26, 40, 13, 39, 29, 34]"
/Users/bokner/projects/jstsp/instances/MTSP/Catanzaro/D1-10.txt,40,60,20,org.minizinc.mip.cplex,600000,unknown,,"nil"
/Users/bokner/projects/jstsp/instances/MTSP/Catanzaro/D1-10.txt,40,60,20,yuck,600000,satisfied,245,"[9, 11, 34, 40, 8, 31, 13, 15, 35, 36, 39, 30, 21, 37, 28, 27, 22, 19, 32, 10, 16, 7, 20, 5, 6, 4, 29, 38, 12, 1, 18, 3, 17, 14, 26, 2, 24, 25, 33, 23]"
/Users/bokner/projects/jstsp/instances/MTSP/Catanzaro/D1-2.txt,40,60,20,org.minizinc.mip.cplex,600000,unknown,,"nil"
/Users/bokner/projects/jstsp/instances/MTSP/Catanzaro/D1-2.txt,40,60,20,yuck,600000,satisfied,211,"[18, 15, 5, 16, 13, 7, 33, 19, 30, 17, 35, 34, 2, 22, 10, 4, 14, 8, 26, 6, 9, 27, 29, 32, 31, 3, 38, 23, 40, 37, 24, 11, 39, 12, 1, 25, 36, 28, 21, 20]"
/Users/bokner/projects/jstsp/instances/MTSP/Catanzaro/D1-3.txt,40,60,20,org.minizinc.mip.cplex,600000,satisfied,473,"[30, 25, 5, 27, 21, 3, 23, 7, 24, 36, 15, 20, 37, 22, 4, 32, 6, 19, 12, 13, 10, 33, 28, 14, 40, 18, 29, 1, 8, 31, 38, 26, 9, 39, 35, 17, 16, 11, 2, 34]"
/Users/bokner/projects/jstsp/instances/MTSP/Catanzaro/D1-3.txt,40,60,20,yuck,600000,satisfied,250,"[19, 33, 8, 22, 31, 16, 29, 7, 17, 1, 40, 26, 21, 28, 32, 5, 23, 25, 11, 4, 15, 12, 24, 36, 14, 20, 38, 9, 37, 30, 10, 39, 6, 27, 34, 18, 2, 13, 3, 35]"
/Users/bokner/projects/jstsp/instances/MTSP/Catanzaro/D1-4.txt,40,60,20,org.minizinc.mip.cplex,600000,unknown,,"nil"
/Users/bokner/projects/jstsp/instances/MTSP/Catanzaro/D1-4.txt,40,60,20,yuck,600000,satisfied,242,"[12, 33, 5, 18, 37, 1, 40, 27, 9, 16, 10, 14, 26, 2, 28, 25, 13, 24, 36, 8, 23, 4, 6, 17, 19, 15, 30, 29, 34, 7, 39, 3, 21, 22, 35, 38, 20, 31, 11, 32]"
