instance,J,T,C,solver,time_limit(msec),status,objective,schedule
instances/MTSP/Crama/Tabela1/s2n001.txt,15,20,6,yuck,30000,satisfied,23,"[2, 1, 13, 15, 3, 4, 14, 9, 5, 10, 11, 12, 8, 7, 6]"
instances/MTSP/Crama/Tabela1/s2n002.txt,15,20,6,yuck,30000,satisfied,20,"[2, 1, 12, 6, 3, 9, 10, 14, 8, 4, 5, 15, 7, 11, 13]"
instances/MTSP/Crama/Tabela1/s2n003.txt,15,20,6,yuck,30000,satisfied,23,"[5, 8, 9, 3, 13, 1, 12, 7, 4, 14, 15, 2, 10, 11, 6]"
instances/MTSP/Crama/Tabela1/s2n004.txt,15,20,6,yuck,30000,satisfied,23,"[5, 8, 9, 3, 13, 1, 12, 7, 4, 14, 15, 2, 10, 11, 6]"
instances/MTSP/Crama/Tabela1/s2n005.txt,15,20,6,yuck,30000,satisfied,26,"[2, 11, 14, 9, 7, 1, 4, 6, 5, 10, 3, 8, 12, 15, 13]"
instances/MTSP/Crama/Tabela1/s2n006.txt,15,20,6,yuck,30000,satisfied,25,"[5, 1, 2, 6, 7, 9, 12, 3, 4, 14, 8, 11, 10, 15, 13]"
instances/MTSP/Crama/Tabela1/s2n007.txt,15,20,6,yuck,30000,satisfied,21,"[14, 12, 4, 6, 8, 5, 11, 9, 7, 3, 10, 2, 1, 13, 15]"
instances/MTSP/Crama/Tabela1/s2n008.txt,15,20,6,yuck,30000,satisfied,26,"[2, 5, 11, 6, 4, 7, 14, 9, 10, 8, 1, 3, 12, 15, 13]"
instances/MTSP/Crama/Tabela1/s2n009.txt,15,20,6,yuck,30000,satisfied,17,"[5, 10, 13, 4, 8, 6, 3, 7, 1, 2, 9, 15, 11, 14, 12]"
instances/MTSP/Crama/Tabela1/s2n010.txt,15,20,6,yuck,30000,satisfied,21,"[2, 11, 15, 6, 4, 3, 10, 1, 14, 9, 12, 5, 7, 13, 8]"
instances/MTSP/Crama/Tabela2/s2n001.txt,15,20,8,yuck,30000,satisfied,17,"[7, 6, 10, 12, 11, 1, 13, 8, 2, 5, 15, 4, 14, 3, 9]"
instances/MTSP/Crama/Tabela2/s2n002.txt,15,20,8,yuck,30000,satisfied,19,"[1, 8, 15, 5, 13, 6, 4, 14, 10, 9, 2, 12, 3, 11, 7]"
instances/MTSP/Crama/Tabela2/s2n003.txt,15,20,8,yuck,30000,satisfied,18,"[6, 15, 10, 2, 5, 8, 1, 12, 9, 13, 3, 7, 4, 14, 11]"
instances/MTSP/Crama/Tabela2/s2n004.txt,15,20,8,yuck,30000,satisfied,18,"[6, 15, 10, 2, 5, 8, 1, 12, 9, 13, 3, 7, 4, 14, 11]"
instances/MTSP/Crama/Tabela2/s2n005.txt,15,20,8,yuck,30000,satisfied,19,"[5, 13, 3, 6, 10, 4, 1, 7, 14, 9, 2, 15, 11, 12, 8]"
instances/MTSP/Crama/Tabela2/s2n006.txt,15,20,8,yuck,30000,satisfied,18,"[4, 3, 11, 15, 10, 13, 8, 14, 5, 2, 6, 9, 12, 1, 7]"
instances/MTSP/Crama/Tabela2/s2n007.txt,15,20,8,yuck,30000,satisfied,16,"[5, 14, 10, 12, 1, 3, 13, 9, 7, 11, 2, 15, 4, 8, 6]"
instances/MTSP/Crama/Tabela2/s2n008.txt,15,20,8,yuck,30000,satisfied,19,"[7, 2, 14, 4, 11, 5, 6, 12, 3, 1, 15, 9, 10, 8, 13]"
instances/MTSP/Crama/Tabela2/s2n009.txt,15,20,8,yuck,30000,satisfied,13,"[7, 12, 1, 15, 2, 11, 9, 14, 4, 10, 5, 3, 6, 8, 13]"
instances/MTSP/Crama/Tabela2/s2n010.txt,15,20,8,yuck,30000,satisfied,15,"[1, 3, 10, 4, 6, 15, 11, 12, 13, 2, 8, 7, 9, 14, 5]"
instances/MTSP/Crama/Tabela3/s2n001.txt,15,20,10,yuck,30000,satisfied,14,"[6, 7, 10, 12, 8, 11, 2, 5, 9, 14, 15, 3, 4, 1, 13]"
instances/MTSP/Crama/Tabela3/s2n002.txt,15,20,10,yuck,30000,satisfied,13,"[9, 3, 12, 2, 4, 1, 8, 14, 5, 6, 13, 15, 10, 7, 11]"
instances/MTSP/Crama/Tabela3/s2n003.txt,15,20,10,yuck,30000,satisfied,13,"[1, 12, 7, 14, 3, 11, 13, 4, 2, 10, 5, 6, 15, 9, 8]"
instances/MTSP/Crama/Tabela3/s2n004.txt,15,20,10,yuck,30000,satisfied,13,"[1, 12, 7, 14, 3, 11, 13, 4, 2, 10, 5, 6, 15, 9, 8]"
instances/MTSP/Crama/Tabela3/s2n005.txt,15,20,10,yuck,30000,satisfied,15,"[5, 4, 3, 6, 8, 15, 12, 1, 7, 2, 11, 13, 9, 14, 10]"
