instance,J,T,C,solver,time_limit,status,objective,sequence
instances/MTSP/Crama/Tabela1/s3n001.txt,30,40,15,yuck,60000,satisfied,123,"[20, 3, 8, 30, 27, 16, 13, 1, 25, 10, 19, 22, 28, 12, 26, 24, 9, 2, 11, 17, 6, 29, 14, 23, 15, 4, 18, 5, 7, 21]"
instances/MTSP/Crama/Tabela1/s3n002.txt,30,40,15,yuck,60000,satisfied,120,"[2, 23, 21, 11, 18, 1, 22, 14, 29, 28, 3, 17, 8, 7, 25, 9, 5, 13, 15, 16, 10, 20, 24, 27, 30, 12, 6, 19, 4, 26]"
instances/MTSP/Crama/Tabela1/s3n003.txt,30,40,15,yuck,60000,satisfied,105,"[10, 26, 15, 25, 20, 8, 2, 5, 18, 21, 28, 7, 24, 19, 4, 17, 11, 9, 3, 6, 23, 14, 12, 1, 30, 16, 29, 13, 22, 27]"
instances/MTSP/Crama/Tabela1/s3n004.txt,30,40,15,yuck,60000,satisfied,121,"[13, 27, 25, 16, 14, 8, 10, 6, 30, 22, 1, 21, 24, 28, 18, 2, 4, 17, 3, 7, 20, 11, 15, 12, 5, 9, 23, 26, 29, 19]"
instances/MTSP/Crama/Tabela1/s3n005.txt,30,40,15,yuck,60000,satisfied,120,"[10, 15, 25, 19, 26, 12, 28, 17, 1, 7, 11, 13, 24, 27, 5, 16, 9, 8, 4, 6, 30, 22, 3, 20, 2, 29, 21, 18, 23, 14]"
instances/MTSP/Crama/Tabela1/s3n006.txt,30,40,15,yuck,60000,satisfied,112,"[22, 1, 19, 29, 11, 27, 24, 6, 25, 18, 30, 20, 9, 2, 15, 17, 16, 21, 7, 14, 5, 8, 23, 10, 26, 12, 4, 13, 3, 28]"
instances/MTSP/Crama/Tabela1/s3n007.txt,30,40,15,yuck,60000,satisfied,122,"[13, 8, 21, 29, 24, 17, 27, 1, 19, 9, 20, 22, 10, 12, 30, 26, 18, 28, 23, 6, 7, 5, 4, 14, 3, 2, 25, 15, 11, 16]"
instances/MTSP/Crama/Tabela1/s3n008.txt,30,40,15,yuck,60000,satisfied,133,"[19, 24, 12, 20, 6, 11, 21, 16, 7, 15, 29, 4, 30, 13, 1, 5, 18, 28, 9, 3, 2, 27, 17, 8, 10, 26, 23, 25, 14, 22]"
instances/MTSP/Crama/Tabela1/s3n009.txt,30,40,15,yuck,60000,satisfied,118,"[9, 6, 25, 5, 3, 11, 22, 12, 26, 10, 28, 18, 30, 29, 7, 8, 17, 15, 24, 27, 21, 14, 1, 16, 20, 13, 4, 2, 19, 23]"
instances/MTSP/Crama/Tabela1/s3n010.txt,30,40,15,yuck,60000,satisfied,114,"[9, 2, 27, 21, 24, 10, 23, 13, 22, 1, 19, 20, 28, 25, 30, 29, 18, 26, 6, 8, 14, 16, 17, 7, 3, 15, 5, 12, 4, 11]"
instances/MTSP/Crama/Tabela2/s3n001.txt,30,40,17,yuck,60000,satisfied,105,"[4, 1, 15, 12, 5, 6, 30, 3, 20, 13, 22, 2, 14, 23, 17, 11, 19, 25, 26, 24, 28, 16, 9, 27, 21, 7, 10, 18, 29, 8]"
instances/MTSP/Crama/Tabela2/s3n002.txt,30,40,17,yuck,60000,satisfied,98,"[15, 1, 14, 2, 3, 17, 6, 16, 5, 25, 9, 28, 4, 26, 7, 19, 24, 10, 18, 12, 20, 13, 21, 11, 22, 30, 23, 8, 29, 27]"
instances/MTSP/Crama/Tabela2/s3n003.txt,30,40,17,yuck,60000,satisfied,99,"[10, 13, 18, 26, 25, 20, 11, 4, 22, 21, 8, 7, 9, 5, 27, 24, 29, 6, 28, 23, 16, 17, 19, 12, 1, 30, 3, 2, 14, 15]"
instances/MTSP/Crama/Tabela2/s3n004.txt,30,40,17,yuck,60000,satisfied,107,"[1, 3, 24, 7, 15, 11, 30, 12, 5, 28, 17, 6, 26, 13, 10, 16, 27, 2, 18, 22, 14, 8, 20, 25, 4, 21, 19, 23, 29, 9]"
instances/MTSP/Crama/Tabela2/s3n005.txt,30,40,17,yuck,60000,satisfied,112,"[9, 24, 1, 19, 27, 11, 4, 6, 18, 16, 5, 22, 2, 15, 20, 14, 21, 25, 29, 12, 23, 26, 10, 30, 7, 8, 13, 28, 3, 17]"
instances/MTSP/Crama/Tabela2/s3n006.txt,30,40,17,yuck,60000,satisfied,100,"[2, 15, 26, 11, 13, 21, 30, 28, 8, 5, 23, 16, 7, 18, 6, 19, 25, 10, 29, 27, 17, 3, 1, 4, 20, 24, 12, 9, 14, 22]"
instances/MTSP/Crama/Tabela2/s3n007.txt,30,40,17,yuck,60000,satisfied,113,"[10, 13, 25, 29, 16, 9, 22, 7, 28, 26, 15, 20, 3, 11, 4, 17, 18, 5, 1, 30, 12, 27, 19, 14, 6, 23, 21, 8, 2, 24]"
instances/MTSP/Crama/Tabela2/s3n008.txt,30,40,17,yuck,60000,satisfied,126,"[16, 19, 5, 6, 24, 25, 29, 27, 11, 10, 13, 4, 23, 2, 7, 1, 28, 18, 12, 26, 3, 9, 30, 17, 8, 20, 15, 22, 14, 21]"
instances/MTSP/Crama/Tabela2/s3n009.txt,30,40,17,yuck,60000,satisfied,113,"[8, 1, 16, 22, 19, 5, 6, 15, 27, 24, 29, 11, 4, 10, 2, 23, 28, 9, 12, 26, 25, 3, 20, 30, 7, 17, 21, 13, 14, 18]"
instances/MTSP/Crama/Tabela2/s3n010.txt,30,40,17,yuck,60000,satisfied,100,"[15, 27, 2, 3, 30, 13, 11, 7, 29, 5, 10, 18, 26, 8, 4, 16, 14, 23, 21, 17, 19, 9, 6, 1, 24, 12, 20, 28, 22, 25]"
instances/MTSP/Crama/Tabela3/s3n001.txt,30,40,20,yuck,60000,satisfied,88,"[3, 5, 23, 15, 12, 22, 13, 16, 9, 2, 28, 4, 29, 18, 17, 25, 30, 21, 7, 20, 24, 26, 1, 19, 10, 11, 14, 27, 8, 6]"
instances/MTSP/Crama/Tabela3/s3n002.txt,30,40,20,yuck,60000,satisfied,84,"[13, 5, 2, 23, 8, 3, 11, 1, 18, 16, 29, 28, 4, 19, 7, 26, 24, 20, 10, 14, 6, 15, 12, 9, 25, 27, 30, 21, 17, 22]"
