instance,J,T,C,solver,time_limit(msec),status,objective,schedule
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s1n001.txt,10,10,6,yuck,180000,satisfied,4,"[9, 1, 7, 8, 3, 4, 10, 5, 6, 2]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s1n001.txt,10,10,6,org.minizinc.mip.cplex,180000,optimal,4,"[9, 3, 5, 6, 1, 7, 8, 10, 4, 2]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s1n002.txt,10,10,6,yuck,180000,satisfied,5,"[6, 10, 4, 1, 9, 3, 8, 2, 5, 7]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s1n002.txt,10,10,6,org.minizinc.mip.cplex,180000,satisfied,5,"[4, 6, 10, 1, 8, 2, 7, 9, 3, 5]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s1n003.txt,10,10,6,yuck,180000,satisfied,4,"[7, 8, 5, 9, 4, 2, 3, 10, 6, 1]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s1n003.txt,10,10,6,org.minizinc.mip.cplex,180000,satisfied,4,"[7, 9, 5, 2, 10, 1, 6, 4, 3, 8]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s1n004.txt,10,10,6,yuck,180000,satisfied,4,"[1, 6, 10, 4, 7, 5, 2, 8, 9, 3]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s1n004.txt,10,10,6,org.minizinc.mip.cplex,180000,satisfied,4,"[3, 9, 8, 2, 5, 10, 7, 4, 1, 6]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s1n005.txt,10,10,6,yuck,180000,satisfied,4,"[5, 2, 6, 10, 7, 8, 4, 3, 1, 9]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s1n005.txt,10,10,6,org.minizinc.mip.cplex,180000,optimal,4,"[2, 8, 5, 10, 6, 7, 3, 1, 4, 9]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s1n006.txt,10,10,6,yuck,180000,satisfied,4,"[3, 6, 7, 2, 5, 1, 10, 4, 9, 8]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s1n006.txt,10,10,6,org.minizinc.mip.cplex,180000,satisfied,4,"[5, 8, 4, 10, 9, 1, 3, 2, 7, 6]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s1n007.txt,10,10,6,yuck,180000,satisfied,4,"[3, 7, 9, 5, 4, 2, 1, 10, 6, 8]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s1n007.txt,10,10,6,org.minizinc.mip.cplex,180000,satisfied,4,"[10, 2, 1, 6, 8, 4, 5, 7, 9, 3]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s1n008.txt,10,10,6,yuck,180000,satisfied,6,"[8, 9, 1, 2, 7, 3, 5, 10, 6, 4]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s1n008.txt,10,10,6,org.minizinc.mip.cplex,180000,satisfied,6,"[4, 6, 7, 9, 10, 1, 3, 2, 8, 5]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s1n009.txt,10,10,6,yuck,180000,satisfied,4,"[9, 1, 6, 4, 8, 2, 3, 5, 10, 7]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s1n009.txt,10,10,6,org.minizinc.mip.cplex,180000,optimal,4,"[8, 2, 1, 6, 5, 3, 10, 7, 4, 9]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s1n010.txt,10,10,6,yuck,180000,satisfied,4,"[5, 3, 2, 4, 8, 10, 1, 7, 6, 9]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s1n010.txt,10,10,6,org.minizinc.mip.cplex,180000,optimal,4,"[8, 3, 10, 5, 4, 2, 1, 7, 6, 9]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s2n001.txt,15,20,10,yuck,180000,satisfied,12,"[14, 8, 13, 1, 2, 5, 9, 3, 4, 15, 11, 10, 7, 12, 6]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s2n001.txt,15,20,10,org.minizinc.mip.cplex,180000,satisfied,14,"[1, 11, 13, 2, 8, 4, 15, 14, 3, 10, 9, 5, 12, 7, 6]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s2n002.txt,15,20,10,yuck,180000,satisfied,11,"[11, 15, 5, 7, 14, 13, 10, 4, 6, 9, 3, 1, 2, 12, 8]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s2n002.txt,15,20,10,org.minizinc.mip.cplex,180000,satisfied,13,"[12, 5, 15, 2, 3, 11, 8, 1, 6, 9, 14, 4, 7, 13, 10]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s2n003.txt,15,20,10,yuck,180000,satisfied,12,"[5, 10, 2, 6, 4, 15, 11, 13, 14, 3, 7, 12, 8, 1, 9]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s2n003.txt,15,20,10,org.minizinc.mip.cplex,180000,satisfied,16,"[6, 11, 3, 14, 2, 13, 10, 1, 8, 5, 9, 15, 4, 12, 7]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s2n004.txt,15,20,10,yuck,180000,satisfied,12,"[5, 10, 2, 6, 4, 15, 11, 13, 14, 3, 7, 12, 8, 1, 9]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s2n004.txt,15,20,10,org.minizinc.mip.cplex,180000,satisfied,16,"[6, 11, 3, 14, 2, 13, 10, 1, 8, 5, 9, 15, 4, 12, 7]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s2n005.txt,15,20,10,yuck,180000,satisfied,14,"[7, 15, 9, 2, 13, 11, 14, 10, 1, 12, 3, 5, 6, 4, 8]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s2n005.txt,15,20,10,org.minizinc.mip.cplex,180000,satisfied,13,"[2, 13, 11, 9, 7, 10, 8, 1, 14, 4, 6, 3, 12, 15, 5]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s2n006.txt,15,20,10,yuck,180000,satisfied,14,"[1, 12, 4, 9, 11, 3, 13, 7, 2, 6, 15, 14, 10, 5, 8]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s2n006.txt,15,20,10,org.minizinc.mip.cplex,180000,satisfied,15,"[3, 10, 13, 4, 11, 12, 8, 1, 5, 7, 6, 9, 2, 14, 15]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s2n007.txt,15,20,10,yuck,180000,satisfied,11,"[6, 4, 8, 12, 10, 3, 5, 1, 13, 2, 11, 7, 15, 9, 14]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s2n007.txt,15,20,10,org.minizinc.mip.cplex,180000,satisfied,11,"[15, 9, 13, 2, 7, 1, 3, 5, 10, 4, 8, 12, 6, 14, 11]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s2n008.txt,15,20,10,yuck,180000,satisfied,13,"[14, 2, 7, 4, 5, 9, 10, 11, 6, 1, 3, 12, 13, 15, 8]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s2n008.txt,15,20,10,org.minizinc.mip.cplex,180000,satisfied,15,"[8, 5, 10, 2, 9, 7, 6, 4, 11, 13, 14, 3, 12, 1, 15]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s2n009.txt,15,20,10,yuck,180000,satisfied,8,"[1, 4, 2, 9, 7, 14, 15, 11, 3, 10, 5, 8, 12, 6, 13]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s2n009.txt,15,20,10,org.minizinc.mip.cplex,180000,satisfied,10,"[5, 2, 12, 3, 10, 1, 14, 7, 9, 11, 15, 8, 4, 13, 6]"
/Users/bokner/projects/jstsp/instances/MTSP/Crama/Tabela3/s2n010.txt,15,20,10,yuck,180000,satisfied,11,"[8, 7, 5, 13, 14, 2, 9, 11, 12, 4, 10, 3, 1, 6, 15]"
