instance,J,T,C,solver,time_limit(msec),status,objective,schedule
instances/MTSP/Laporte/Tabela6/L22-3.txt,25,25,10,org.minizinc.mip.cplex,1200000,satisfied,22,"[19, 6, 15, 23, 24, 1, 14, 13, 12, 25, 5, 16, 4, 3, 7, 2, 10, 8, 18, 11, 17, 9, 22, 20, 21]"
instances/MTSP/Laporte/Tabela6/L22-4.txt,25,25,10,org.minizinc.mip.cplex,1200000,satisfied,16,"[6, 15, 3, 19, 24, 23, 25, 13, 4, 20, 11, 12, 1, 21, 10, 8, 14, 9, 5, 22, 18, 2, 16, 17, 7]"
instances/MTSP/Laporte/Tabela6/L22-5.txt,25,25,10,org.minizinc.mip.cplex,1200000,satisfied,19,"[18, 1, 19, 5, 22, 20, 8, 9, 10, 7, 2, 15, 16, 24, 21, 6, 13, 14, 12, 11, 3, 23, 4, 17, 25]"
instances/MTSP/Laporte/Tabela6/L22-6.txt,25,25,10,org.minizinc.mip.cplex,1200000,satisfied,17,"[18, 14, 3, 17, 7, 10, 4, 11, 1, 19, 24, 16, 15, 23, 20, 9, 25, 12, 21, 6, 2, 5, 13, 8, 22]"
instances/MTSP/Laporte/Tabela6/L22-8.txt,25,25,10,org.minizinc.mip.cplex,1200000,satisfied,21,"[12, 5, 8, 3, 4, 1, 21, 10, 16, 7, 19, 6, 22, 20, 15, 9, 2, 13, 25, 17, 18, 14, 11, 23, 24]"
instances/MTSP/Laporte/Tabela6/L22-9.txt,25,25,10,org.minizinc.mip.cplex,1200000,satisfied,19,"[12, 15, 21, 7, 23, 10, 24, 20, 25, 11, 3, 17, 9, 4, 2, 8, 13, 6, 16, 5, 1, 22, 18, 19, 14]"
instances/MTSP/Laporte/Tabela6/L22-10.txt,25,25,10,org.minizinc.mip.cplex,1200000,satisfied,19,"[3, 25, 22, 11, 1, 10, 7, 21, 20, 13, 6, 14, 16, 9, 15, 5, 19, 8, 24, 4, 12, 23, 2, 18, 17]"
instances/MTSP/Laporte/Tabela6/L23-2.txt,25,25,15,org.minizinc.mip.cplex,1200000,optimal,10,"[7, 15, 24, 11, 19, 17, 25, 23, 21, 22, 3, 13, 4, 20, 9, 5, 2, 14, 6, 8, 16, 1, 10, 12, 18]"
instances/MTSP/Laporte/Tabela6/L23-3.txt,25,25,15,org.minizinc.mip.cplex,1200000,satisfied,11,"[14, 17, 6, 23, 16, 24, 10, 9, 11, 15, 21, 20, 5, 7, 8, 1, 2, 22, 19, 4, 3, 12, 13, 18, 25]"
instances/MTSP/Laporte/Tabela6/L25-6.txt,25,25,20,org.minizinc.mip.cplex,1200000,optimal,5,"[8, 16, 22, 15, 23, 11, 10, 17, 6, 14, 5, 25, 24, 20, 18, 2, 4, 21, 12, 9, 7, 1, 19, 3, 13]"
