instance,J,T,C,solver,time_limit(msec),status,objective,schedule
instances/MTSP/Laporte/Tabela6/L1-1.txt,20,15,5,yuck,180000,satisfied,23,"[11, 8, 5, 14, 10, 13, 16, 12, 15, 20, 9, 17, 3, 7, 4, 2, 18, 1, 6, 19]"
instances/MTSP/Laporte/Tabela6/L1-10.txt,20,15,5,yuck,180000,satisfied,20,"[1, 17, 12, 7, 9, 4, 3, 19, 18, 14, 2, 5, 16, 10, 11, 6, 15, 8, 13, 20]"
instances/MTSP/Laporte/Tabela6/L1-2.txt,20,15,5,yuck,180000,satisfied,20,"[4, 12, 19, 1, 17, 11, 5, 16, 10, 14, 8, 2, 15, 6, 7, 9, 3, 20, 13, 18]"
instances/MTSP/Laporte/Tabela6/L1-3.txt,20,15,5,yuck,180000,satisfied,25,"[12, 1, 14, 5, 9, 16, 20, 8, 15, 3, 19, 4, 11, 18, 13, 17, 6, 2, 7, 10]"
instances/MTSP/Laporte/Tabela6/L1-4.txt,20,15,5,yuck,180000,satisfied,20,"[5, 4, 20, 18, 2, 10, 9, 19, 7, 15, 11, 1, 16, 12, 3, 8, 17, 13, 14, 6]"
instances/MTSP/Laporte/Tabela6/L1-5.txt,20,15,5,yuck,180000,satisfied,23,"[16, 10, 6, 3, 11, 2, 18, 17, 13, 20, 15, 8, 12, 5, 19, 1, 14, 4, 9, 7]"
instances/MTSP/Laporte/Tabela6/L1-6.txt,20,15,5,yuck,180000,satisfied,32,"[13, 2, 4, 15, 20, 11, 9, 7, 3, 5, 19, 18, 12, 16, 17, 1, 14, 8, 10, 6]"
instances/MTSP/Laporte/Tabela6/L1-7.txt,20,15,5,yuck,180000,satisfied,18,"[7, 13, 2, 12, 6, 11, 16, 19, 5, 8, 17, 3, 14, 1, 9, 4, 20, 18, 15, 10]"
instances/MTSP/Laporte/Tabela6/L1-8.txt,20,15,5,yuck,180000,satisfied,24,"[10, 3, 14, 5, 8, 4, 11, 1, 6, 18, 19, 9, 17, 20, 16, 2, 15, 7, 13, 12]"
instances/MTSP/Laporte/Tabela6/L1-9.txt,20,15,5,yuck,180000,satisfied,21,"[2, 3, 14, 20, 6, 1, 19, 11, 12, 7, 10, 16, 4, 9, 8, 15, 18, 13, 17, 5]"
instances/MTSP/Laporte/Tabela6/L10-1.txt,20,25,10,yuck,180000,satisfied,22,"[9, 2, 19, 11, 6, 8, 18, 10, 5, 7, 14, 16, 12, 1, 15, 13, 20, 3, 17, 4]"
instances/MTSP/Laporte/Tabela6/L10-10.txt,20,25,10,yuck,180000,satisfied,20,"[3, 7, 11, 13, 14, 15, 19, 12, 2, 10, 4, 8, 20, 17, 9, 16, 18, 5, 1, 6]"
instances/MTSP/Laporte/Tabela6/L10-2.txt,20,25,10,yuck,180000,satisfied,22,"[10, 14, 2, 18, 15, 20, 1, 11, 3, 13, 16, 12, 17, 5, 6, 8, 4, 7, 9, 19]"
instances/MTSP/Laporte/Tabela6/L10-3.txt,20,25,10,yuck,180000,satisfied,22,"[16, 6, 10, 18, 4, 1, 14, 11, 13, 17, 7, 9, 8, 19, 15, 2, 5, 20, 12, 3]"
instances/MTSP/Laporte/Tabela6/L10-4.txt,20,25,10,yuck,180000,satisfied,21,"[14, 16, 6, 11, 18, 15, 19, 7, 5, 2, 4, 9, 3, 17, 12, 8, 20, 10, 1, 13]"
instances/MTSP/Laporte/Tabela6/L10-5.txt,20,25,10,yuck,180000,satisfied,21,"[4, 16, 6, 5, 19, 1, 10, 3, 14, 17, 12, 8, 13, 15, 20, 2, 9, 7, 11, 18]"
