instance,J,T,C,solver,time_limit(msec),status,objective,schedule
instances/MTSP/Laporte/Tabela6/L1-1.txt,20,15,5,org.minizinc.mip.cplex,180000,satisfied,30,"[8, 11, 13, 3, 17, 14, 2, 4, 6, 5, 12, 7, 1, 9, 18, 10, 20, 15, 16, 19]"
instances/MTSP/Laporte/Tabela6/L1-10.txt,20,15,5,org.minizinc.mip.cplex,180000,satisfied,26,"[4, 3, 10, 9, 17, 12, 1, 7, 18, 16, 6, 11, 20, 14, 8, 2, 5, 19, 15, 13]"
instances/MTSP/Laporte/Tabela6/L1-2.txt,20,15,5,org.minizinc.mip.cplex,180000,satisfied,25,"[3, 15, 7, 17, 16, 14, 5, 11, 2, 6, 13, 8, 18, 1, 4, 9, 10, 20, 12, 19]"
instances/MTSP/Laporte/Tabela6/L1-3.txt,20,15,5,org.minizinc.mip.cplex,180000,satisfied,28,"[5, 9, 16, 20, 8, 3, 19, 18, 12, 4, 1, 13, 6, 17, 7, 11, 2, 14, 15, 10]"
instances/MTSP/Laporte/Tabela6/L1-4.txt,20,15,5,org.minizinc.mip.cplex,180000,satisfied,25,"[6, 15, 20, 4, 16, 3, 8, 5, 13, 17, 18, 7, 2, 14, 10, 19, 12, 1, 11, 9]"
instances/MTSP/Laporte/Tabela6/L1-5.txt,20,15,5,org.minizinc.mip.cplex,180000,satisfied,29,"[12, 20, 15, 8, 19, 4, 18, 3, 10, 2, 9, 17, 13, 7, 16, 11, 6, 5, 1, 14]"
instances/MTSP/Laporte/Tabela6/L1-6.txt,20,15,5,org.minizinc.mip.cplex,180000,satisfied,41,"[2, 6, 15, 7, 9, 8, 16, 3, 14, 5, 17, 1, 18, 12, 4, 11, 20, 19, 13, 10]"
instances/MTSP/Laporte/Tabela6/L1-7.txt,20,15,5,org.minizinc.mip.cplex,180000,satisfied,28,"[16, 11, 18, 5, 20, 19, 14, 12, 2, 6, 3, 13, 10, 15, 8, 1, 9, 4, 17, 7]"
instances/MTSP/Laporte/Tabela6/L1-8.txt,20,15,5,org.minizinc.mip.cplex,180000,satisfied,31,"[6, 1, 9, 13, 12, 8, 20, 11, 10, 5, 4, 14, 19, 15, 18, 3, 2, 17, 7, 16]"
instances/MTSP/Laporte/Tabela6/L1-9.txt,20,15,5,org.minizinc.mip.cplex,300000,satisfied,24,"[5, 8, 17, 4, 13, 16, 3, 15, 18, 11, 20, 19, 1, 10, 14, 6, 2, 9, 12, 7]"
instances/MTSP/Laporte/Tabela6/L10-1.txt,20,25,10,org.minizinc.mip.cplex,180000,satisfied,22,"[11, 6, 7, 14, 8, 20, 18, 13, 17, 3, 15, 19, 10, 9, 5, 12, 1, 2, 4, 16]"
instances/MTSP/Laporte/Tabela6/L10-10.txt,20,25,10,org.minizinc.mip.cplex,180000,satisfied,21,"[2, 12, 5, 6, 19, 16, 10, 9, 8, 18, 17, 14, 4, 1, 13, 15, 3, 11, 20, 7]"
instances/MTSP/Laporte/Tabela6/L10-2.txt,20,25,10,org.minizinc.mip.cplex,180000,satisfied,22,"[10, 8, 5, 6, 20, 16, 7, 9, 19, 13, 11, 17, 3, 12, 14, 1, 2, 4, 15, 18]"
