instance,J,T,C,solver,time_limit(msec),status,objective,schedule
instances/MTSP/Laporte/Tabela7/L1-1.txt,10,10,4,org.minizinc.mip.cplex,300000,optimal,11,"[5, 10, 8, 1, 2, 3, 7, 4, 9, 6]"
instances/MTSP/Laporte/Tabela7/L1-10.txt,10,10,4,org.minizinc.mip.cplex,300000,optimal,10,"[5, 2, 10, 8, 3, 7, 9, 6, 4, 1]"
instances/MTSP/Laporte/Tabela7/L1-2.txt,10,10,4,org.minizinc.mip.cplex,300000,optimal,9,"[3, 6, 4, 8, 7, 10, 2, 5, 9, 1]"
instances/MTSP/Laporte/Tabela7/L1-3.txt,10,10,4,org.minizinc.mip.cplex,300000,optimal,8,"[9, 7, 1, 10, 5, 4, 3, 8, 6, 2]"
instances/MTSP/Laporte/Tabela7/L1-4.txt,10,10,4,org.minizinc.mip.cplex,300000,optimal,9,"[7, 3, 2, 6, 1, 9, 10, 4, 8, 5]"
instances/MTSP/Laporte/Tabela7/L1-5.txt,10,10,4,org.minizinc.mip.cplex,300000,optimal,10,"[10, 2, 7, 8, 6, 3, 5, 4, 9, 1]"
instances/MTSP/Laporte/Tabela7/L1-6.txt,10,10,4,org.minizinc.mip.cplex,300000,optimal,10,"[9, 1, 8, 7, 3, 10, 4, 5, 2, 6]"
instances/MTSP/Laporte/Tabela7/L1-7.txt,10,10,4,org.minizinc.mip.cplex,300000,optimal,9,"[3, 2, 1, 4, 10, 6, 7, 9, 8, 5]"
instances/MTSP/Laporte/Tabela7/L1-8.txt,10,10,4,org.minizinc.mip.cplex,300000,optimal,10,"[8, 7, 4, 10, 1, 5, 9, 2, 3, 6]"
instances/MTSP/Laporte/Tabela7/L1-9.txt,10,10,4,org.minizinc.mip.cplex,300000,optimal,9,"[7, 4, 3, 6, 1, 8, 2, 5, 9, 10]"
instances/MTSP/Laporte/Tabela7/L2-1.txt,10,10,5,org.minizinc.mip.cplex,300000,optimal,5,"[10, 7, 3, 5, 9, 6, 4, 2, 1, 8]"
instances/MTSP/Laporte/Tabela7/L2-10.txt,10,10,5,org.minizinc.mip.cplex,300000,optimal,6,"[4, 10, 5, 3, 8, 2, 6, 9, 1, 7]"
instances/MTSP/Laporte/Tabela7/L2-2.txt,10,10,5,org.minizinc.mip.cplex,300000,optimal,7,"[10, 2, 1, 7, 8, 4, 5, 9, 6, 3]"
