instance,J,T,C,solver,status,objective,schedule
instances/MTSP/Laporte/Tabela7/L1-1.txt,10,10,4,yuck,satisfied,11,"[10, 5, 2, 3, 7, 4, 9, 6, 8, 1]"
instances/MTSP/Laporte/Tabela7/L1-10.txt,10,10,4,yuck,satisfied,10,"[10, 2, 5, 1, 4, 6, 9, 7, 3, 8]"
instances/MTSP/Laporte/Tabela7/L1-2.txt,10,10,4,yuck,satisfied,9,"[4, 3, 8, 2, 9, 5, 10, 6, 7, 1]"
instances/MTSP/Laporte/Tabela7/L1-3.txt,10,10,4,yuck,satisfied,8,"[6, 2, 8, 7, 9, 1, 10, 3, 5, 4]"
instances/MTSP/Laporte/Tabela7/L1-4.txt,10,10,4,yuck,satisfied,9,"[5, 8, 4, 6, 2, 3, 7, 10, 9, 1]"
instances/MTSP/Laporte/Tabela7/L1-5.txt,10,10,4,yuck,satisfied,10,"[2, 1, 8, 7, 6, 3, 10, 5, 9, 4]"
instances/MTSP/Laporte/Tabela7/L1-6.txt,10,10,4,yuck,satisfied,10,"[10, 5, 2, 4, 6, 3, 7, 8, 1, 9]"
instances/MTSP/Laporte/Tabela7/L1-7.txt,10,10,4,yuck,satisfied,9,"[9, 5, 7, 6, 10, 4, 1, 2, 3, 8]"
instances/MTSP/Laporte/Tabela7/L1-8.txt,10,10,4,yuck,satisfied,10,"[8, 7, 4, 3, 10, 1, 5, 9, 2, 6]"
instances/MTSP/Laporte/Tabela7/L1-9.txt,10,10,4,yuck,satisfied,9,"[9, 10, 6, 3, 4, 7, 5, 2, 1, 8]"
instances/MTSP/Laporte/Tabela7/L2-1.txt,10,10,5,yuck,satisfied,5,"[10, 7, 5, 3, 9, 1, 6, 4, 2, 8]"
instances/MTSP/Laporte/Tabela7/L2-10.txt,10,10,5,yuck,satisfied,6,"[10, 4, 2, 5, 3, 8, 6, 9, 1, 7]"
instances/MTSP/Laporte/Tabela7/L2-2.txt,10,10,5,yuck,satisfied,7,"[9, 8, 5, 4, 3, 6, 7, 2, 10, 1]"
instances/MTSP/Laporte/Tabela7/L2-3.txt,10,10,5,yuck,satisfied,6,"[6, 7, 4, 10, 1, 5, 8, 3, 9, 2]"
instances/MTSP/Laporte/Tabela7/L2-4.txt,10,10,5,yuck,satisfied,7,"[9, 5, 2, 8, 1, 6, 4, 10, 7, 3]"
instances/MTSP/Laporte/Tabela7/L2-5.txt,10,10,5,yuck,satisfied,5,"[6, 5, 9, 4, 10, 1, 2, 3, 7, 8]"
instances/MTSP/Laporte/Tabela7/L2-6.txt,10,10,5,yuck,satisfied,7,"[9, 10, 3, 5, 2, 6, 7, 4, 1, 8]"
instances/MTSP/Laporte/Tabela7/L2-7.txt,10,10,5,yuck,satisfied,7,"[1, 3, 2, 9, 6, 4, 5, 10, 7, 8]"
instances/MTSP/Laporte/Tabela7/L2-8.txt,10,10,5,yuck,satisfied,6,"[10, 1, 9, 5, 3, 2, 6, 7, 8, 4]"
instances/MTSP/Laporte/Tabela7/L2-9.txt,10,10,5,yuck,satisfied,6,"[4, 5, 7, 3, 9, 8, 2, 6, 10, 1]"
instances/MTSP/Laporte/Tabela7/L3-1.txt,10,10,6,yuck,satisfied,4,"[5, 6, 9, 2, 1, 4, 8, 10, 3, 7]"
instances/MTSP/Laporte/Tabela7/L3-10.txt,10,10,6,yuck,satisfied,5,"[1, 5, 8, 9, 6, 10, 2, 7, 3, 4]"
instances/MTSP/Laporte/Tabela7/L3-2.txt,10,10,6,yuck,satisfied,4,"[1, 4, 8, 5, 7, 9, 6, 3, 10, 2]"
instances/MTSP/Laporte/Tabela7/L3-3.txt,10,10,6,yuck,satisfied,4,"[7, 10, 4, 3, 2, 1, 6, 5, 9, 8]"
instances/MTSP/Laporte/Tabela7/L3-4.txt,10,10,6,yuck,satisfied,4,"[2, 5, 10, 6, 9, 7, 4, 8, 3, 1]"
instances/MTSP/Laporte/Tabela7/L3-5.txt,10,10,6,yuck,satisfied,4,"[3, 1, 5, 2, 8, 9, 7, 6, 10, 4]"
instances/MTSP/Laporte/Tabela7/L3-6.txt,10,10,6,yuck,satisfied,5,"[8, 10, 1, 2, 5, 7, 6, 9, 3, 4]"
instances/MTSP/Laporte/Tabela7/L3-7.txt,10,10,6,yuck,satisfied,4,"[9, 10, 6, 7, 5, 2, 3, 4, 8, 1]"
instances/MTSP/Laporte/Tabela7/L3-8.txt,10,10,6,yuck,satisfied,4,"[1, 9, 8, 3, 10, 5, 7, 4, 6, 2]"
instances/MTSP/Laporte/Tabela7/L3-9.txt,10,10,6,yuck,satisfied,5,"[1, 10, 9, 8, 3, 4, 6, 2, 5, 7]"
instances/MTSP/Laporte/Tabela7/L4-1.txt,10,10,7,yuck,satisfied,3,"[1, 4, 6, 2, 8, 7, 10, 9, 5, 3]"
instances/MTSP/Laporte/Tabela7/L4-10.txt,10,10,7,yuck,satisfied,3,"[5, 6, 9, 2, 7, 8, 1, 3, 10, 4]"
instances/MTSP/Laporte/Tabela7/L4-2.txt,10,10,7,yuck,satisfied,3,"[9, 4, 6, 5, 10, 8, 7, 2, 1, 3]"
instances/MTSP/Laporte/Tabela7/L4-3.txt,10,10,7,yuck,satisfied,3,"[9, 2, 3, 8, 1, 10, 5, 7, 6, 4]"
instances/MTSP/Laporte/Tabela7/L4-4.txt,10,10,7,yuck,satisfied,3,"[9, 2, 1, 5, 6, 4, 10, 8, 7, 3]"
instances/MTSP/Laporte/Tabela7/L4-5.txt,10,10,7,yuck,satisfied,3,"[8, 2, 4, 5, 7, 10, 3, 1, 9, 6]"
instances/MTSP/Laporte/Tabela7/L4-6.txt,10,10,7,yuck,satisfied,3,"[8, 1, 2, 3, 4, 9, 5, 10, 6, 7]"
instances/MTSP/Laporte/Tabela7/L4-7.txt,10,10,7,yuck,satisfied,3,"[7, 2, 10, 6, 4, 8, 3, 5, 1, 9]"
instances/MTSP/Laporte/Tabela7/L4-8.txt,10,10,7,yuck,satisfied,3,"[5, 3, 2, 9, 1, 8, 4, 7, 10, 6]"
instances/MTSP/Laporte/Tabela7/L4-9.txt,10,10,7,yuck,satisfied,3,"[8, 10, 2, 6, 5, 3, 7, 4, 1, 9]"
