instance,J,T,C,solver,time_limit(msec),status,objective,sequence
instances/MTSP/Laporte/Tabela7/L1-1.txt,10,10,4,org.minizinc.mip.cplex,600000,optimal,11,"[5, 2, 10, 8, 1, 3, 7, 4, 9, 6]"
instances/MTSP/Laporte/Tabela7/L1-10.txt,10,10,4,org.minizinc.mip.cplex,600000,optimal,10,"[1, 4, 6, 9, 7, 3, 8, 10, 2, 5]"
instances/MTSP/Laporte/Tabela7/L1-2.txt,10,10,4,org.minizinc.mip.cplex,600000,optimal,9,"[1, 10, 2, 5, 9, 3, 6, 4, 8, 7]"
instances/MTSP/Laporte/Tabela7/L1-3.txt,10,10,4,org.minizinc.mip.cplex,600000,optimal,8,"[1, 9, 7, 10, 4, 5, 3, 8, 6, 2]"
instances/MTSP/Laporte/Tabela7/L1-4.txt,10,10,4,org.minizinc.mip.cplex,600000,optimal,9,"[1, 9, 10, 7, 3, 5, 4, 8, 6, 2]"
instances/MTSP/Laporte/Tabela7/L1-5.txt,10,10,4,org.minizinc.mip.cplex,600000,optimal,10,"[2, 8, 7, 6, 10, 3, 5, 1, 9, 4]"
instances/MTSP/Laporte/Tabela7/L1-6.txt,10,10,4,org.minizinc.mip.cplex,600000,optimal,10,"[9, 1, 8, 7, 3, 6, 4, 2, 5, 10]"
instances/MTSP/Laporte/Tabela7/L1-7.txt,10,10,4,org.minizinc.mip.cplex,600000,optimal,9,"[5, 9, 7, 6, 10, 4, 1, 2, 3, 8]"
instances/MTSP/Laporte/Tabela7/L1-8.txt,10,10,4,org.minizinc.mip.cplex,600000,optimal,10,"[2, 9, 5, 1, 10, 4, 7, 8, 3, 6]"
instances/MTSP/Laporte/Tabela7/L1-9.txt,10,10,4,org.minizinc.mip.cplex,600000,optimal,9,"[1, 8, 2, 5, 9, 10, 6, 3, 4, 7]"
instances/MTSP/Laporte/Tabela7/L2-1.txt,10,10,5,org.minizinc.mip.cplex,600000,optimal,5,"[8, 2, 6, 1, 4, 5, 9, 7, 3, 10]"
instances/MTSP/Laporte/Tabela7/L2-10.txt,10,10,5,org.minizinc.mip.cplex,600000,optimal,6,"[7, 1, 6, 9, 2, 8, 3, 5, 4, 10]"
instances/MTSP/Laporte/Tabela7/L2-2.txt,10,10,5,org.minizinc.mip.cplex,600000,optimal,7,"[4, 5, 9, 8, 3, 10, 6, 2, 1, 7]"
